player,team,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Trinity Benson,DET,7,6.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,2.2857142857142856,146.0,139.5
KhaDarel Hodge,DET,12,0.0,0.0,1.0,1.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,27.0,2.25,116.0,141.5
Lil'Jordan Humphrey,NO,8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,5.0,2.0,1.0,18.0,2.25,138.0,141.5
John Ross,NYG,9,0.0,0.0,0.0,4.0,5.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,2.2222222222222223,132.0,143.0
Shi Smith,CAR,5,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,11.0,2.2,158.5,145.0
Denzel Mims,NYJ,10,1.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,22.0,2.2,126.0,145.0
N'Keal Harry,NE,10,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,6.0,0.0,1.0,22.0,2.2,126.0,145.0
Dyami Brown,WAS,10,4.0,6.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,21.0,2.1,129.5,147.0
Kendall Hinton,DEN,11,0.0,1.0,0.0,3.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,23.0,2.090909090909091,122.0,148.0
Brandon Zylstra,CAR,12,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,5.0,4.0,0.0,0.0,2.0,25.0,2.0833333333333335,118.5,149.0
C.J. Saunders,CAR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,202.0,152.5
